pais_hecho|departamento_hecho|victimas_identificadas|victimas_total|responsables_identificados|tc_tc_politico|v_vs_violacion_sexual_embarazo|v_vs_violacion_sexual_embarazo_nacimiento|v_vs_violacion_sexual_ind_col|v_vs_violacion_sexual_multiple_responsable|cluster
Colombia|VaupÃ©s|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|VaupÃ©s|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|VaupÃ©s|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|VaupÃ©s|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|VaupÃ©s|1|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|Vichada|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Vichada|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Vichada|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Vichada|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Vichada|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|5|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|7|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Amazonas|1|4|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|5|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|7|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|6|30|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|9|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|4|4|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|4|4|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|4|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|3|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|15|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|3|4|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|5|5|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|2|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|2|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|SÃÂ­|No|Individual|SÃÂ­|0
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|1|2|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|4|4|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|4|4|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|200|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|9|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|3|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|20|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|2|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|3|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|4|4|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|0|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|2|2|0|0|No|No|Individual|SÃÂ­|0
Colombia|Antioquia|4|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|2|0|0|No|No|Individual|SÃÂ­|0
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|No|No|Individual|SÃÂ­|0
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Antioquia|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Arauca|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Arauca|1|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|Arauca|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Arauca|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Arauca|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Arauca|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Arauca|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|ArchipiÃ©lago De San AndrÃ©s, Providencia Y Santa Catalina|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|ArchipiÃ©lago De San AndrÃ©s, Providencia Y Santa Catalina|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|AtlÃ¡ntico|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|AtlÃ¡ntico|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|AtlÃ¡ntico|3|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|AtlÃ¡ntico|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|AtlÃ¡ntico|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|AtlÃ¡ntico|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BogotÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BogotÃ¡|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|3|1|1|0|No|No|Individual|SÃÂ­|0
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BolÃ­var|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|BoyacÃ¡|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|2|0|0|No|No|Individual|SÃÂ­|0
Colombia|BoyacÃ¡|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|1|0|No|No|Individual|SÃÂ­|0
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|BoyacÃ¡|1|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|BoyacÃ¡|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|0|0|No|No|Individual|SÃÂ­|0
Colombia|Caldas|3|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|3|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|2|0|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
Colombia|Caldas|1|1|1|0|Sin Especificar|Sin Especificar|Sin Especificar|Sin Especificar|1
